%----------------------------------------------------
% @ABOUT Describes the equation p[0] / p[1] - p[2]
%
% @AUTHOR WildBoar
% @CREATED 2022-12-31 19:51:53
%----------------------------------------------------
@RELATION equation

@ATTRIBUTE p0 NUMERIC
@ATTRIBUTE p1 NUMERIC
@ATTRIBUTE p2 NUMERIC
@ATTRIBUTE output NUMERIC

@DATA
83.000000000000,-14.000000000000,77.000000000000,-82.928571428571
15.000000000000,93.000000000000,35.000000000000,-34.838709677419
86.000000000000,-8.000000000000,-51.000000000000,40.250000000000
-79.000000000000,62.000000000000,-73.000000000000,71.725806451613
-10.000000000000,-41.000000000000,63.000000000000,-62.756097560976
26.000000000000,40.000000000000,-74.000000000000,74.650000000000
72.000000000000,36.000000000000,-89.000000000000,91.000000000000
68.000000000000,67.000000000000,-71.000000000000,72.014925373134
82.000000000000,30.000000000000,-38.000000000000,40.733333333333
23.000000000000,-33.000000000000,35.000000000000,-35.696969696970
29.000000000000,-98.000000000000,-78.000000000000,77.704081632653
-42.000000000000,-31.000000000000,67.000000000000,-65.645161290323
93.000000000000,-44.000000000000,-89.000000000000,86.886363636364
-58.000000000000,-71.000000000000,73.000000000000,-72.183098591549
-79.000000000000,19.000000000000,84.000000000000,-88.157894736842
37.000000000000,98.000000000000,24.000000000000,-23.622448979592
15.000000000000,70.000000000000,-87.000000000000,87.214285714286
26.000000000000,-9.000000000000,80.000000000000,-82.888888888889
56.000000000000,-27.000000000000,-38.000000000000,35.925925925926
70.000000000000,96.000000000000,-19.000000000000,19.729166666667
5.000000000000,25.000000000000,-16.000000000000,16.200000000000
27.000000000000,36.000000000000,5.000000000000,-4.250000000000
-54.000000000000,29.000000000000,13.000000000000,-14.862068965517
-43.000000000000,24.000000000000,-5.000000000000,3.208333333333
82.000000000000,45.000000000000,-86.000000000000,87.822222222222
67.000000000000,-66.000000000000,64.000000000000,-65.015151515152
-57.000000000000,50.000000000000,-13.000000000000,11.860000000000
-92.000000000000,-24.000000000000,78.000000000000,-74.166666666667
88.000000000000,84.000000000000,-97.000000000000,98.047619047619
-49.000000000000,54.000000000000,99.000000000000,-99.907407407407
32.000000000000,-40.000000000000,-24.000000000000,23.200000000000
68.000000000000,39.000000000000,-88.000000000000,89.743589743590
-74.000000000000,86.000000000000,-6.000000000000,5.139534883721
39.000000000000,95.000000000000,70.000000000000,-69.589473684211
-66.000000000000,78.000000000000,-33.000000000000,32.153846153846
-99.000000000000,-3.000000000000,2.000000000000,31.000000000000
17.000000000000,-8.000000000000,-48.000000000000,45.875000000000
56.000000000000,1.000000000000,-20.000000000000,76.000000000000
-14.000000000000,-59.000000000000,-35.000000000000,35.237288135593
-11.000000000000,-56.000000000000,-81.000000000000,81.196428571429
-60.000000000000,29.000000000000,-69.000000000000,66.931034482759
17.000000000000,-3.000000000000,71.000000000000,-76.666666666667
-19.000000000000,-25.000000000000,9.000000000000,-8.240000000000
27.000000000000,67.000000000000,-44.000000000000,44.402985074627
-3.000000000000,53.000000000000,86.000000000000,-86.056603773585
65.000000000000,6.000000000000,-17.000000000000,27.833333333333
-81.000000000000,-76.000000000000,28.000000000000,-26.934210526316
-29.000000000000,32.000000000000,-71.000000000000,70.093750000000
3.000000000000,-81.000000000000,-30.000000000000,29.962962962963
68.000000000000,8.000000000000,15.000000000000,-6.500000000000
40.000000000000,49.000000000000,96.000000000000,-95.183673469388
23.000000000000,-82.000000000000,-55.000000000000,54.719512195122
-54.000000000000,-49.000000000000,21.000000000000,-19.897959183673
55.000000000000,79.000000000000,-12.000000000000,12.696202531646
64.000000000000,-72.000000000000,-59.000000000000,58.111111111111
50.000000000000,93.000000000000,0.000000000000,0.537634408602
-66.000000000000,64.000000000000,24.000000000000,-25.031250000000
14.000000000000,87.000000000000,-44.000000000000,44.160919540230
43.000000000000,-9.000000000000,-73.000000000000,68.222222222222
65.000000000000,-41.000000000000,36.000000000000,-37.585365853659
-68.000000000000,51.000000000000,-63.000000000000,61.666666666667
-72.000000000000,-25.000000000000,-93.000000000000,95.880000000000
-26.000000000000,21.000000000000,-42.000000000000,40.761904761905
95.000000000000,-71.000000000000,-63.000000000000,61.661971830986
-65.000000000000,93.000000000000,-82.000000000000,81.301075268817
-72.000000000000,43.000000000000,-89.000000000000,87.325581395349
28.000000000000,29.000000000000,76.000000000000,-75.034482758621
-96.000000000000,-57.000000000000,63.000000000000,-61.315789473684
-87.000000000000,38.000000000000,-94.000000000000,91.710526315789
